;list_name;amazon_product_url;author;book_review_link;contributor;contributor_note;created_date;description;primary_isbn10;primary_isbn13;book_uri;publisher;rank;rank_last_week;sunday_review_link;title;updated_date;weeks_on_list
4;Hardcover Fiction;https://www.amazon.com/dp/0385546572?tag=NYTBSREV-20;Stacey Abrams;;by Stacey Abrams;;2021-06-02 22:14:23;When Justice Wynn slips into a coma, his law clerk, Avery Keene, must unravel the clues of a controversial case.;0385546572;9780385546577;nyt://book/cef54ed8-224a-5c72-989c-96b413c287d0;Doubleday;5;4;;WHILE JUSTICE SLEEPS;2021-06-02 22:19:25;3
0;Hardcover Nonfiction;https://www.amazon.com/dp/125027365X?tag=NYTBSREV-20;Bill O'Reilly and Martin Dugard;;by Bill O'Reilly and Martin Dugard;;2021-06-02 22:14:26;The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.;125027365X;9781250273659;nyt://book/008ceb69-609e-572b-9c74-ba6d1a93056e;St. Martin's;1;3;;KILLING THE MOB;2021-06-02 22:19:28;4
1;Hardcover Nonfiction;https://www.amazon.com/dp/0525555218?tag=NYTBSREV-20;John Green;;by John Green;;2021-06-02 22:14:26;A collection of personal essays that review different facets of the human-centered planet.;0525555218;9780525555216;nyt://book/ce122c17-5c31-5c93-88f5-48543e0def07;Dutton;2;1;;THE ANTHROPOCENE REVIEWED;2021-06-02 22:19:28;2
2;Hardcover Nonfiction;https://www.amazon.com/dp/1250223180?tag=NYTBSREV-20;Bruce D. Perry and Oprah Winfrey;;by Bruce D. Perry and Oprah Winfrey;;2021-06-02 22:14:26;An approach to dealing with trauma that shifts an essential question used to investigate it.;1250223180;9781250223180;nyt://book/5bd45771-6d8f-5a8e-aa45-46b74262534e;Flatiron;3;4;;WHAT HAPPENED TO YOU?;2021-06-02 22:19:28;5
3;Hardcover Nonfiction;https://www.amazon.com/dp/0593139135?tag=NYTBSREV-20;Matthew McConaughey;;by Matthew McConaughey;;2021-06-02 22:14:27;The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.;0593139135;9780593139134;nyt://book/a13e8e1e-0fdd-5551-925b-d89690f4eb37;Crown;4;7;;GREENLIGHTS;2021-06-02 22:19:28;32
4;Hardcover Nonfiction;https://www.amazon.com/dp/0399589015?tag=NYTBSREV-20;Carol Leonnig;;by Carol Leonnig;;2021-06-02 22:14:27;The three-time Pulitzer Prize winner brings to light the secrets, scandals and shortcomings of the Secret Service.;0399589015;9780399589010;nyt://book/2bb7ce01-96cb-5fbe-883f-f1512e5543be;Random House;5;2;;ZERO FAIL;2021-06-02 22:19:28;2
0;Trade Fiction Paperback;https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20;Delia Owens;;by Delia Owens;;2021-06-02 22:14:26;In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.;0735219109;9780735219106;nyt://book/08a5730d-43e5-586d-8ce6-4b891eb75fe1;Putnam;1;1;;WHERE THE CRAWDADS SING;2021-06-02 22:19:27;9
1;Trade Fiction Paperback;http://www.amazon.com/The-Song-Achilles-A-Novel/dp/0062060627?tag=NYTBSREV-20;Madeline Miller;https://www.nytimes.com/2012/04/29/books/review/the-song-of-achilles-by-madeline-miller.html;by Madeline Miller;;2021-06-02 22:14:26;A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.;0062060627;9780062060624;nyt://book/5404511a-729b-542b-9315-5ef827b7850e;Ecco;2;2;https://www.nytimes.com/2012/04/29/books/review/the-song-of-achilles-by-madeline-miller.html;THE SONG OF ACHILLES;2021-06-02 22:19:27;32
2;Trade Fiction Paperback;https://www.amazon.com/dp/1984806750?tag=NYTBSREV-20;Emily Henry;;by Emily Henry;;2021-06-02 22:14:26;Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.;1984806750;9781984806758;nyt://book/5dbae751-16c1-51b3-aa19-fe6e08cef953;Berkley;3;4;;PEOPLE WE MEET ON VACATION;2021-06-02 22:19:27;3
3;Trade Fiction Paperback;https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=NYTBSREV-20;Alex Michaelides;;by Alex Michaelides;;2021-06-02 22:14:26;Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.;125030170X;9781250301703;nyt://book/b29e079d-2ac4-54bf-b6da-ca9daa59f616;Celadon;4;3;;THE SILENT PATIENT;2021-06-02 22:19:27;4
